climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Col de Valico Tre Faggi,location/colle-tre-faggi,12.6,5.4,978,156,tour-de-france
Saint-Lary-Soulan Pla d’Adet,location/pla-d-adet,10.6,8.0,1653,0,tour-de-france
Col de Braus,location/col-de-braus,10.2,6.3,999,108,tour-de-france
Col d'Agnes,location/col-d-agnes,10.1,8.1,1569,59,tour-de-france
Côte de Carnaio,location/passo-del-carnaio,10.1,4.7,758,108,tour-de-france
Col de Menté,location/col-de-mente,9.4,8.6,1341,148,tour-de-france
Hourquette d’Ancizan,location/hourquette-d-ancizan,8.3,5.0,1565,28,tour-de-france
Col de Montgenèvre,location/col-de-montgenevre,8.3,6.0,1848,69,tour-de-france
La Turbie ,location/la-turbie,8.2,5.7,479,23,tour-de-france
Col du Noyer,location/col-du-noyer,7.6,7.9,1661,12,tour-de-france
Col de la Colmiane,location/col-saint-martin,7.5,6.9,1499,37,tour-de-france
Côte de San Marino,location/san-marino,7.1,4.7,651,26,tour-de-france
Côte de Saint-Apollinaire,location/cote-de-saint-apollinaire,7.1,5.6,1277,58,tour-de-france
Col de Peyresourde,location/col-de-peyresourde,7.0,7.8,1567,191,tour-de-france
Col Bayard,location/col-bayard,6.9,7.1,1247,32,tour-de-france
Côte de Barbotto,location/colle-del-barbotto,5.9,7.6,596,70,tour-de-france
Puy Mary Pas de Peyrol,location/pas-de-peyrol,5.3,7.9,1582,31,tour-de-france
Col de Manse,location/col-de-manse,5.2,3.7,1269,82,tour-de-france
Côte de San Leo,location/san-leo,4.8,7.7,586,49,tour-de-france
Col de Pertus,location/col-du-perthus,4.5,8.2,1299,15,tour-de-france
Col de Portet-d’Aspet,location/col-de-portet-d-aspet,4.4,9.7,1068,132,tour-de-france
Côte de Montemaggio ,location/cote-de-montemaggio,4.3,6.6,519,39,tour-de-france
Col du Festre,location/col-du-festre,4.0,6.5,1440,147,tour-de-france
SuperDévoluy,location/superdevoluy,3.9,5.7,1500,0,tour-de-france
Col de Néronne,location/col-de-neronne,3.9,8.7,1238,42,tour-de-france
Côte de Larodde,location/cote-de-larodde,3.7,6.0,788,121,tour-de-france
Côte des Demoiselles Coiffées,location/cote-des-demoiselles-coiffees,3.5,5.4,1023,40,tour-de-france
Col de Font de Cère,location/col-de-font-de-cere,3.4,5.5,1290,3,tour-de-france
Côte de Sommariva Perno,location/cote-de-sommariva-perno,3.1,4.6,361,49,tour-de-france
Côte de Lhuis,location/cote-de-lhuis,3.0,4.9,380,35,tour-de-france
Côte de Chacenay,location/cote-de-chacenay,3.0,4.2,313,78,tour-de-france
Côte de Verrey-sous-Salmaise ,location/cote-de-verrey-sous-salmaise,3.0,6.0,516,145,tour-de-france
Côte de Baroville,location/cote-de-baroville,2.8,4.3,360,129,tour-de-france
Côte de Montecalvo,location/montecalvo-italy,2.8,7.6,312,48,tour-de-france
Côte d’Autoire,location/cote-d-autoire,2.7,5.7,343,141,tour-de-france
Côte des Forche,location/cote-des-forche,2.5,6.7,448,128,tour-de-france
Côte de Villy-en-Auxois,location/cote-de-villy-en-auxois,2.4,5.6,483,151,tour-de-france
Côte de Corps,location/cote-de-corps,2.2,6.6,926,122,tour-de-france
Côte de Val Frion,location/cote-de-val-frion,2.2,4.9,278,92,tour-de-france
Côte de Vitteaux ,location/cote-de-vitteaux,2.1,7.0,488,159,tour-de-france
Côte de Monticino,location/monticino,2.0,7.2,255,125,tour-de-france
Côte de Montcléra,location/cote-de-montclera,2.0,4.8,287,68,tour-de-france
Côte de Rocamadour,location/cote-de-rocamadour,2.0,5.4,251,119,tour-de-france
Côte de San Luca,location/san-luca,1.9,10.2,266,31,tour-de-france
Côte de Botteghino di Zocca,location/botteghino-di-zocca,1.9,6.3,237,60,tour-de-france
Côte de San Luca,location/san-luca,1.9,10.2,266,13,tour-de-france
Côte de Mouilloux,location/cote-de-mouilloux,1.9,6.4,711,131,tour-de-france
Côte de Simacourbe,location/cote-de-simacourbe,1.8,6.5,307,29,tour-de-france
Col du Bois Clair,location/col-du-bois-clair,1.7,6.0,388,154,tour-de-france
Côte de Bergères,location/cote-des-bergeres,1.7,4.9,331,147,tour-de-france
Côte de Blachon,location/cote-de-blachon,1.6,6.1,301,38,tour-de-france
Côte du Cheval Blanc,location/cote-du-cheval-blanc,1.5,4.6,335,73,tour-de-france
Côte de Barbaresco,location/cote-de-barbaresco,1.4,6.7,270,75,tour-de-france
Côte de Gallisterna,location/cima-gallisterna,1.4,10.5,256,110,tour-de-france
Côte de Giey-sur-Aujon,location/cote-de-giey-sur-aujon,1.2,7.8,391,61,tour-de-france
Côte de Tortone - Fausto Coppi,location/cote-de-tortone-fausto-coppi,1.1,6.1,198,160,tour-de-france
Côte de Fambetou,location/cote-de-fambetou,1.1,4.9,242,76,tour-de-france
Côte de Santenoge,location/cote-de-santenoge,1.1,8.0,458,87,tour-de-france
Urraki,location/urraki,8.5,6.8,677,128,san-sebastian
Jaizkibel,location/alto-de-jaizkibel,7.9,5.6,448,60,san-sebastian
Andazarrate,location/alto-de-andazarrate,5.9,5.7,432,208,san-sebastian
Alkiza,location/alkiza,4.5,5.8,338,108,san-sebastian
Azkarate,location/alto-de-azkarate,4.3,7.1,335,149,san-sebastian
Erlaitz,location/erlaitz,3.8,10.7,435,41,san-sebastian
Pilotegi,location/pilotegi,2.1,10.8,242,8,san-sebastian
Przełęcz Jugowska,location/przelecz-jugowska,12.0,4.2,803,106,tour-de-pologne
Przełęcz Kowarska,location/przelecz-kowarska,7.3,2.7,725,19,tour-de-pologne
Przełęcz Jaworowa,location/przelecz-jaworowa,7.2,4.2,716,118,tour-de-pologne
Karłów,location/karlow,7.0,5.1,744,62,tour-de-pologne
Karłów,location/karlow,7.0,5.1,744,18,tour-de-pologne
Przełęcz Tąpadła,location/przelecz-tapadla,5.0,3.3,379,103,tour-de-pologne
Przełęcz Walimska,location/przelecz-walimska,4.5,5.4,754,128,tour-de-pologne
Ściana Harnaś,location/sciana-harnas,2.8,6.4,964,47,tour-de-pologne
Ściana Bukovina,location/sciana-bukovina,2.6,7.9,988,60,tour-de-pologne
Ściana Bukovina,location/sciana-bukovina,2.6,7.9,988,12,tour-de-pologne
Ojców,location/ojcow,2.1,5.0,457,91,tour-de-pologne
Góra Św. Anny,location/gora-swietej-anny-nowa-ruda,2.0,9.7,610,89,tour-de-pologne
Waseberg,location/waseberg,0.7,8.4,64,63,cyclassics-hamburg
Waseberg,location/waseberg,0.7,8.4,64,24,cyclassics-hamburg
Waseberg,location/waseberg,0.7,8.4,64,16,cyclassics-hamburg
Hoogbergstraat,location/kruisberg-hotond,2.7,4.2,159,122,renewi-tour
Onkerzeleberg,location/onkerzele-berg,1.8,3.7,87,12,renewi-tour
Onkerzeleberg,location/onkerzele-berg,1.8,3.7,87,37,renewi-tour
Onkerzeleberg,location/onkerzele-berg,1.8,3.7,87,62,renewi-tour
Côte Sur les Coteaux,location/cote-sur-les-coteaux,1.6,4.1,144,146,renewi-tour
Côte Sur les Coteaux,location/cote-sur-les-coteaux,1.6,4.1,144,86,renewi-tour
Côte Sur les Coteaux,location/cote-sur-les-coteaux,1.6,4.1,144,26,renewi-tour
Bosberg,location/bosberg,1.4,4.5,100,20,renewi-tour
Bosberg,location/bosberg,1.4,4.5,100,46,renewi-tour
Oude Kruisberg,location/oude-kruisberg,1.4,5.2,116,115,renewi-tour
Bosberg,location/bosberg,1.4,4.5,100,71,renewi-tour
Muur - Kapelmuur,location/muur-van-geraardsbergen,1.2,7.4,105,76,renewi-tour
Muur - Kapelmuur,location/muur-van-geraardsbergen,1.2,7.4,105,25,renewi-tour
Muur - Kapelmuur,location/muur-van-geraardsbergen,1.2,7.4,105,50,renewi-tour
Knokteberg - Trieu,location/knokteberg-trieu,1.2,7.3,117,132,renewi-tour
Les Plachettes,location/cote-des-plachettes,1.1,5.8,111,95,renewi-tour
Berg Ten Houte,location/berg-ten-houte,1.1,5.7,111,106,renewi-tour
Côte de Hallembaye,location/cote-de-hallembaye,1.0,4.9,122,37,renewi-tour
Slingerberg,location/slingerberg-belgium,1.0,4.7,113,46,renewi-tour
Côte de Hallembaye,location/cote-de-hallembaye,1.0,4.9,122,97,renewi-tour
Slingerberg,location/slingerberg-belgium,1.0,4.7,113,106,renewi-tour
Côte de Hallembaye,location/cote-de-hallembaye,1.0,4.9,122,157,renewi-tour
Kluisberg,location/kluisberg,0.8,7.3,86,140,renewi-tour
Denderoordberg,location/denderoordberg,0.7,6.8,64,82,renewi-tour
Denderoordberg,location/denderoordberg,0.7,6.8,64,57,renewi-tour
Denderoordberg,location/denderoordberg,0.7,6.9,64,31,renewi-tour
Denderoordberg,location/denderoordberg,0.7,7.0,65,6,renewi-tour
De Vesten,location/muur-van-geraardsbergen,0.6,6.7,58,0,renewi-tour
Paterberg,location/paterberg,0.4,9.7,67,129,renewi-tour
Puerto de Leitariegos,location/puerto-de-leitariegos,22.8,4.5,1525,17,vuelta-a-espana
Cuitu Negru,location/cuitu-negru,18.9,7.1,1835,0,vuelta-a-espana
Alto de Teixeira,location/alto-de-teixeira,17.4,3.2,855,107,vuelta-a-espana
Estación de Montaña de Manzaneda,location/estacion-de-montana-manzaneda,15.9,4.7,1491,0,vuelta-a-espana
Alto de Fonfría,location/alto-de-fontefria,15.3,4.3,796,133,vuelta-a-espana
Puerto del Boyar,location/puerto-del-boyar,14.7,5.5,1101,112,vuelta-a-espana
Pico Villuercas,location/pico-villuercas,14.6,6.1,1526,0,vuelta-a-espana
Portillo de Lunada,location/portillo-de-lunada,14.1,6.1,1347,79,vuelta-a-espana
Alto de Piornal,location/alto-del-piornal,13.8,5.5,1193,116,vuelta-a-espana
Lagos de Covadonga,location/lagos-de-covadonga,12.2,7.0,1077,0,vuelta-a-espana
Puerto de Los Tornos,location/puerto-de-los-tornos,11.2,5.8,908,26,vuelta-a-espana
Alto de Rivas de Tereso,location/alto-de-rivas-de-tereso,11.0,3.4,942,98,vuelta-a-espana
Alto del Caracol,location/alto-de-el-caracol,10.7,5.5,818,98,vuelta-a-espana
Puerto San Xusto,location/puerto-san-xusto,10.2,4.2,442,122,vuelta-a-espana
Alto de Mougás,location/alto-de-mougas,9.9,6.1,627,21,vuelta-a-espana
Las Estacas de Trueba,location/puerto-de-las-estacas-de-treuba,9.2,3.0,1144,138,vuelta-a-espana
Puerto de Cabezabellosa,location/puerto-de-cabezabellosa,9.2,5.4,934,147,vuelta-a-espana
Puerto de El Purche,location/alto-del-purche,8.9,7.7,1481,82,vuelta-a-espana
Alto de las Abejas,location/puerto-de-las-abejas,8.9,3.9,734,0,vuelta-a-espana
Alto de Moncalvillo,location/alto-de-moncalvillo-la-rioja,8.6,8.9,1490,-8,vuelta-a-espana
Picón Blanco,location/picon-blanco,8.0,9.0,1491,0,vuelta-a-espana
Puerto de Miravete,location/puerto-de-miravete,7.9,4.3,654,47,vuelta-a-espana
Alto O Portelo,location/alto-o-portelo,7.7,5.1,1064,101,vuelta-a-espana
Collada Llomena,location/la-collada-llomena,7.5,9.3,995,56,vuelta-a-espana
Puerto de Ancares,location/puerto-de-ancares,7.5,9.0,1659,0,vuelta-a-espana
Alto del 14%,location/alto-del-catorce-por-ciento,7.4,5.6,584,26,vuelta-a-espana
Puerto Mirador de las Palomas,location/puerto-mirador-de-las-palomas,7.3,5.6,1228,54,vuelta-a-espana
Portillo de la Sía,location/puerto-de-la-sia,7.2,5.8,1221,61,vuelta-a-espana
Alto de Hazallanas,location/alto-de-hazallanas,7.1,9.6,1672,23,vuelta-a-espana
Alto de Hazallanas,location/alto-de-hazallanas,7.1,9.6,1672,54,vuelta-a-espana
Alto del Caracol,location/alto-de-el-caracol,7.1,6.6,816,71,vuelta-a-espana
Puerto de Cerredo,location/puerto-de-cerredo,7.0,4.6,1351,98,vuelta-a-espana
Mirador del Fito,location/mirador-del-fito,7.0,8.0,575,104,vuelta-a-espana
Alto da Batalha,location/alto-da-batalha,6.9,3.3,379,19,vuelta-a-espana
Puerto del Viento,location/puerto-del-viento,6.6,4.2,1062,55,vuelta-a-espana
Puerto de Lumeras,location/puerto-de-lumeras,6.6,5.9,1039,20,vuelta-a-espana
Alto de la Colladiella,location/alto-de-la-colladiella,6.5,8.0,843,105,vuelta-a-espana
Alto de la Colladiella,location/alto-de-la-colladiella,6.5,8.0,843,55,vuelta-a-espana
Alto de Alpedrinha,location/alto-de-alpedrinha,6.3,3.3,731,43,vuelta-a-espana
Alto de Vilachán,location/alto-de-vilachan,6.3,5.5,383,55,vuelta-a-espana
Alto de Mabia,location/alto-de-mabia,6.0,5.7,435,40,vuelta-a-espana
Puerto de La Braguía,location/puerto-de-la-braguia,5.8,5.2,694,117,vuelta-a-espana
Alto de Santo Emiliano,location/alto-de-santo-emiliano,5.6,4.9,512,78,vuelta-a-espana
Puerto Herrera,location/alto-de-la-herrera,5.6,8.4,1098,45,vuelta-a-espana
Puerto Aguasantas,location/puerto-aguasantas,5.6,6.1,443,46,vuelta-a-espana
Puerto Aguasantas,location/puerto-aguasantas,5.6,6.1,443,83,vuelta-a-espana
Alto de la Estranguada,location/alto-de-la-estranguada,5.5,8.7,679,87,vuelta-a-espana
Puerto de Pradilla,location/alto-de-pradilla,5.3,5.0,1242,70,vuelta-a-espana
Alto do Lagoa Azul,location/alto-do-lagoa-azul,5.3,4.8,270,185,vuelta-a-espana
Alto Campo de Arbre,location/alto-campo-de-arbre,5.0,5.9,794,142,vuelta-a-espana
Sierra de Cazorla,location/sierra-de-cazorla,4.8,7.2,1056,0,vuelta-a-espana
Puerto Martínez,location/puerto-martinez,3.5,5.9,729,26,vuelta-a-espana
Puerto Cruxeiras,location/puerto-cruxeiras,2.8,9.0,311,6,vuelta-a-espana
Col de Toullaeron,location/col-de-toullaeron,2.6,4.4,267,104,bretagne-classic
Ty Coz,location/ty-coz,2.3,5.4,300,92,bretagne-classic
Saint-Herbot,location/saint-herbot,2.0,5.5,206,128,bretagne-classic
Restembolaye,location/restembolaye,1.9,2.5,129,45,bretagne-classic
Quelennec,location/quelennec,1.7,3.4,186,83,bretagne-classic
Kergoat,location/kergoat,1.5,5.0,160,73,bretagne-classic
Locmaria,location/locmaria,1.5,3.8,135,60,bretagne-classic
Marta,location/marta,1.5,5.8,137,28,bretagne-classic
Longeo,location/longeo,1.5,5.7,138,20,bretagne-classic
Rostervel,location/rostervel,1.4,4.2,143,10,bretagne-classic
Kervelen,location/kervelen,1.3,3.8,106,49,bretagne-classic
Le Lezot,location/le-lezot,0.9,4.8,133,5,bretagne-classic
Kerbris,location/kerbris,0.8,5.6,163,77,bretagne-classic
Le Moustoir,location/le-moustoir,0.4,6.7,87,41,bretagne-classic
Beg ar Salud,location/beg-ar-salud,0.4,6.8,110,31,bretagne-classic
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,191,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,178,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,166,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,153,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,140,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,128,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,115,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,103,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,90,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,77,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,65,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,52,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,40,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,27,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,14,gp-quebec
Côte des Glacis,location/cote-des-glacis,0.4,6.3,40,2,gp-quebec
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,109,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,10,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,22,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,35,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,47,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,59,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,72,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,84,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,96,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,207,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,121,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,133,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,146,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,158,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,170,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,182,gp-montréal
Côte Camillien-Houde,location/cote-camillien-houde,2.3,6.2,208,195,gp-montréal
Colma di Sormano,location/colma-di-sormano,13.1,6.5,1114,42,il-lombardia
Selvino,location/selvino,11.4,5.5,948,199,il-lombardia
Valpiana,location/valpiana-bergamo,10.4,6.1,995,148,il-lombardia
Madonna del Ghisallo,location/madonna-del-ghisallo,8.1,3.7,755,78,il-lombardia
Forcellino di Bianzano,location/forcellino-di-bianzano,6.3,5.1,664,225,il-lombardia
Sella di Osigo,location/sella-di-osigo,5.1,5.6,497,90,il-lombardia
Colle di Berbenno,location/berbenno,4.5,6.2,693,168,il-lombardia
San Fermo della Battaglia,location/san-fermo-della-battaglia,2.8,6.6,402,5,il-lombardia
Nachao,location/nachao,5.3,6.1,571,163,tour-of-guangxi
Nongla Scenic Area Parking Lot,location/nongla-scenic-area,3.3,6.7,469,2,tour-of-guangxi
Qingxiushan Scenic Songtao Rd.,location/qingxiushan,1.3,12.0,238,128,tour-of-guangxi
Qingxiushan Scenic Songtao Rd.,location/qingxiushan,1.3,12.0,238,74,tour-of-guangxi
Qingxiushan Scenic Songtao Rd.,location/qingxiushan,1.3,12.0,238,19,tour-of-guangxi
